Id,SeedId,复投次数,调温最大亮度值,稳定时间,引晶开始CCD亮度值,引晶稳定CCD亮度差值,引晶熔接CCD差值,引晶开始结束CCD差值,引晶后50长拉速,引晶平均拉速,放肩高度,放肩降温量,等径长度
7134,220901431-111,1,64.52,29,52.66,-2.86,-9.12,0.3,6.47,5.68,120.72,6.53,1
7135,220901341-213,2,66.98,28,57.54,-2.75,-8.65,-0.85,6.01,5.14,126.16,6.81,1
7136,220901242-213,2,59.63,37,51.2,-2.34,-7.78,-1.07,4.89,4.89,126.2,6.51,1
7137,220901211-213,2,61.42,38,51.81,-2.94,-8.07,-0.43,4.48,4.57,133.08,6,1
7138,220901171-712,7,68.4,15,57.01,-4.09,-9.25,-0.89,6.45,5.83,124.31,6.03,1
7139,220901051-113,1,55.17,40,48.14,-2.91,-7.03,-0.96,6.29,5.17,122.7,6.53,1
7140,220901121-311,3,60.68,34,48.46,-2.45,-7.94,-0.84,5.18,4.34,156.41,7.54,1
7141,220901201-212,2,65.37,16,53.41,-2.04,-7.36,-0.55,4.81,4.64,128.76,6.5,1
7142,220901151-114,1,62.53,46,53.67,-3.07,-7.79,-0.59,4.38,4.84,129.88,6.8,1
7143,220901001-412,4,63.73,31,51.46,-2.26,-9.14,-0.58,4.8,4.87,137.81,7.53,1
7144,220901391-311,3,67.18,72,55.5,-2.93,-8.11,-1.06,4.75,3.94,125.02,6.53,1
7145,220900972-112,1,76.23,22,64.41,-2.99,-9.09,-1.58,5.17,4.49,120.87,6.28,1
7146,220901331-114,1,64.69,23,54.08,-3,-7.65,-0.86,5.15,5.05,134.07,7.02,1
7147,220901131-215,2,62.13,21,52.74,-2.99,-7.84,-1.32,4.78,4.32,133.88,7.02,1
7148,220901442-111,1,62.06,30,50.99,-2.26,-8.42,-0.72,5.1,4.98,109.91,6.32,1
7149,220901351-511,5,53.37,58,45.2,-1.86,-6.23,-0.43,4.93,4.7,137.6,7.01,1
7150,220901261-511,5,61.06,37,51.86,-2.53,-8.24,-0.16,5.22,5.1,127.04,6.51,1
7151,220801322-711,7,61.01,59,50.37,-2.34,-7.41,-0.43,4.06,4.17,133.49,7.05,1
7152,220901181-112,1,57.9,53,49.28,-2.55,-6.98,-0.51,4.98,5.14,129.77,6.54,1
7153,220901161-511,5,61.17,85,49.59,-4.18,-8.38,-0.21,5.19,4.76,126.16,6.86,1
7154,220901221-311,3,65.11,63,52.37,-4.84,-9.93,-0.19,4.64,4.2,122.57,6.52,1
7155,220901111-513,5,55.6,30,47.15,-2.01,-6.65,-0.77,4.27,4.25,160.26,8.5,1
7156,220901311-211,2,57.62,56,48.26,-3.45,-8.02,-0.99,5.48,5.2,137.28,8.52,1
7157,220901031-111,1,83.13,13,71.41,-2.67,-9.44,-1.15,5.78,5.32,134.8,7.53,1
7158,220901011-611,6,61.38,57,52.35,-2.13,-6.26,-0.44,4.66,4.13,144.91,8.02,1
7159,220901103-112,1,56.53,32,48.24,-2.04,-7.1,-0.64,4.87,4.63,126.57,6.54,1
7160,220801292-711,7,64.25,79,52.36,-2.72,-8.11,-0.48,5.58,5.04,128.98,6.75,1
7161,220901081-214,2,63.5,22,52.68,-2.08,-8.24,-0.77,4.3,4.12,134.29,6.53,1
7162,220901041-311,3,66.66,36,56.53,-2.77,-8.5,-1.03,5.65,5.27,138.2,8.52,1
7163,220901141-113,1,57.51,26,48.64,-2.65,-7.19,-0.85,5.91,5.39,122.66,6.51,1
7164,220800991-712,7,62.73,17,50.38,-3.57,-8.14,-1.68,6.9,5.55,130.1,6.53,1
7165,220801071-711,7,60.45,35,49.42,-2.23,-6.85,-0.29,5.06,5.3,127.32,6,1
7166,220901171-711,7,69.58,50,57.54,-2.25,-8.96,0.2,4.23,4.31,133.54,6.02,1
7167,220901252-215,2,53.38,33,43.21,-2.17,-6.71,-0.14,4.64,4.79,149.55,6.7,1
7168,220901361-211,2,62.82,22,53.64,-2.06,-7.38,-0.87,4.58,4.51,128.01,6.51,1
7169,220801432-713,7,64.34,46,52.38,-3.69,-9.63,0.59,4.78,4.54,127.51,6.5,1
7170,220901061-311,3,58.06,71,48.04,-2.4,-7.52,-0.04,4.48,4.64,125.41,6.8,1
7171,220901281-211,2,67.61,45,57.2,-2.64,-8.47,-0.54,4.75,4.56,128.46,6.53,1
7172,220901091-112,1,63.35,24,52.1,-3.08,-8.24,-1.08,5.88,4.82,121.35,6.51,1
7173,220901261-412,4,61.52,17,51.82,-2.58,-8.75,0.1,5.36,5.22,127.86,6.71,1
7174,220901271-212,2,57.05,45,52.63,-2.89,-9.58,-0.19,5.24,5.14,122.74,6.52,1
7175,220801302-612,6,66.93,39,56.15,-2.39,-9.67,-0.56,5.02,4.4,147.02,10.75,1
7176,220901011-511,5,61.87,65,52.42,-2.48,-6.84,-0.84,4.82,4.25,142.01,8.03,1
7177,220901131-212,2,62.01,35,52.8,-1.88,-9.03,-1.09,4.51,4.7,129.99,6.94,1
7178,220900982-211,2,63.37,80,51.95,-3.33,-8.37,0.07,5.55,5.02,122.14,6.54,1
7179,220901411-211,2,66.53,52,54.34,-3.93,-9.53,-0.35,4.59,4.49,127.43,6.54,1
7180,220901401-111,1,65.84,89,55.02,-2.8,-9.46,-0.23,4.23,4.15,130.78,6.52,1
7181,220901231-112,1,56.2,32,47.21,-2.76,-8.21,-0.02,5.12,4.93,125.58,6.72,1
7182,220901331-113,1,63.81,34,53.79,-2.88,-7.73,-0.72,5.4,5.08,127.97,6.35,1
7183,220801382-612,6,85.07,31,68.71,-3.77,-13.5,-1.36,5.33,4.2,148.43,8.53,1
7184,220901021-435,4,61.39,45,49.22,-4.81,-9.06,0.84,3.98,3.97,134.44,7.53,1
7185,220901371-311,3,61.61,39,50.09,-2.5,-8.2,-0.82,5.24,4.38,140.16,8.7,1
7186,220901252-214,2,53.24,35,42.77,-2.52,-6.79,-0.14,5.84,5.3,128.29,6.5,1
7187,220901141-112,1,57.24,33,48.54,-2.68,-7.09,-1.3,5.89,5.49,120.7,6.17,1
7188,220901121-211,2,60.2,39,48.8,-2.02,-7.76,-0.58,4.88,4.43,156.54,7.52,1
7189,220901081-212,2,62.43,42,51.83,-2.96,-9.01,-0.06,4.67,4.34,127.51,6.52,1
7190,220801192-614,6,55.88,21,45.43,-2.85,-7.6,-1.49,4.78,4.16,124.68,6.53,1
7191,220901351-412,4,54.05,21,45.04,-2.03,-6.3,-0.82,5.51,4.89,129.54,6.87,1
7192,220901131-111,1,61.24,35,52.19,-2.67,-7.96,-1.26,5.46,5.31,119.65,5.92,1
7193,220901242-112,1,60.21,27,51.39,-2.2,-7.16,-0.68,5.51,4.59,125.21,6.53,1
7194,220800991-711,7,64.75,21,50.15,-2.24,-7.63,-0.93,5.91,5.15,115.88,6.22,1
7195,220801442-712,7,62.31,20,51.07,-2.71,-8.3,-0.95,5.01,4.54,128.83,6.52,1
